Country,Name,Weather,Temp,Humidity,Rain,Visibility,Wind speed,Clouds
CN,Kunshan,Clouds,285.12,59,,10000,3.24,22
US,University City,Clear,271.13,85,,10000,2.57,0
GH,Kumasi,Rain,304.36,56,0.5,10000,1.82,46
IN,Vadodara,Smoke,303.13,45,,5000,2.57,40
CN,Babu,Clouds,294.04,67,,10000,1.12,64
CN,Pingliang,Clouds,278.03,46,,10000,0.72,91
US,Portland,Mist,274.05,86,,4828,2.68,75
IN,Alipur,Haze,300.28,65,,2500,4.12,75
PK,Gujranwala,Clouds,295.19,27,,10000,0.61,100
CN,Baicheng,Clouds,262.86,63,,10000,2.42,100
TR,Gaziantep,Clouds,283.09,87,,10000,4.12,75
CN,Fushun,Clouds,268.98,53,,10000,4.16,72
US,Riverside,Clouds,282.73,86,,10000,2.06,20
ML,Bamako Region,Clear,306.44,16,,10000,2.06,0
EC,Quito,Rain,282.5,94,1.4,10000,1.03,75
BY,Minsk City,Snow,273.01,94,,654,3.63,89
MX,Tijuana,Clear,284.19,86,,10000,3.09,0
CM,Bamenda,Rain,298.82,64,0.44,10000,0.79,91
SO,Bosaso,Clouds,302.18,70,,10000,4.63,20
IN,Indore,Haze,297.21,46,,5000,3.09,2
TR,Sanliurfa,Clouds,287.09,56,,10000,8.31,100
AT,Vienna,Clouds,275.71,83,,10000,8.94,75
IR,Karaj,Clear,288.9,20,,10000,2.06,0
CD,Kabasele-Pania,Rain,297.66,86,0.76,10000,2.49,100
PK,Sabzi Mandi,Haze,293.33,42,,4000,0.0,75
JP,Sapporo,Snow,268.25,72,,9893,5.37,72
MX,Ecatepec de Morelos,Clear,280.95,87,,10000,3.09,0
CN,Pingxiang,Clouds,284.9,81,,10000,1.42,24
US,Pine Castle,Clouds,288.39,85,,10000,3.6,75
SY,Aleppo,Clouds,291.17,55,,10000,3.16,100
US,Sacramento,Clear,277.77,71,,10000,3.09,0
KZ,Gornyy Gigant,Mist,279.71,76,,5000,2.0,20
PR,Leprocomio,Clear,299.56,87,,10000,0.45,0
US,Bexar,Clouds,284.84,74,,10000,3.6,100
CN,Yinchuan,Clouds,276.01,30,,10000,1.89,52
IN,Thāne,Smoke,304.11,62,,3000,3.09,40
BR,Vila Matias,Clouds,293.9,60,,7000,4.12,100
MW,Blantyre,Rain,304.43,27,0.18,10000,2.06,75
RO,Grefoaicele,Clouds,278.07,93,,10000,4.12,100
BR,Curitiba,Mist,287.81,71,,3700,2.57,100
PK,Multan,Smoke,297.07,50,,1500,0.0,75
TW,Tainan,Clouds,292.29,77,,10000,1.03,20
CN,Datong,Clouds,272.32,35,,10000,2.85,73
NG,Orogbum,Clouds,305.59,52,,10000,3.65,53
PL,Warsaw,Clouds,273.21,92,,10000,7.2,75
CN,Jixi,Clouds,254.05,93,,10000,1.37,51
PK,Saidu Sharīf,Clouds,290.59,27,,10000,0.61,100
CN,Liaoyang,Clouds,269.31,47,,10000,4.61,78
CN,Beihai,Clouds,295.87,78,,10000,6.05,15
